Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
  350    0.088543885    0   0
  360    0.088528830    0   0
  370    0.088514100    0   0
  380    0.088499687    0   0
  390    0.088485583    0   0
  400    0.088471781    0   0
  410    0.088458270    0   0
  420    0.088445041    0   0
  430    0.088432089    0   0
  440    0.088419405    0   0
  450    0.088406982    0   0
  460    0.088394814    0   0
  470    0.088382893    0   0
  480    0.088371215    0   0
  490    0.088359773    0   0
  500    0.088348560    0   0
  510    0.088337570    0   0
  520    0.088326798    0   0
  530    0.088316239    0   0
  540    0.088305887    0   0
  550    0.088295740    0   0
  560    0.088285793    8   0
Solution converged in 562 iterations with final
                                            objective=0.088283826, slow progress with global relative
                                            objective=0.000000982<=1e-06 for 10 non-consecutive
                                            iterations
  562    0.088283826    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.62341325190349e-07
Iter    objective   convergence_count   no_progress_count
    0    0.085866558    0   0
   10    0.085829228    0   0
   20    0.085793635    0   0
   30    0.085759273    0   0
   40    0.085725963    0   0
   50    0.085693616    0   0
   60    0.085662164    0   0
   70    0.085631557    0   0
   80    0.085601756    0   0
   90    0.085572725    0   0
  100    0.085544433    0   0
  110    0.085516850    0   0
  120    0.085489949    0   0
  130    0.085463706    0   0
  140    0.085438096    0   0
  150    0.085413098    0   0
  160    0.085388691    0   0
  170    0.085364855    0   0
  180    0.085341569    0   0
  190    0.085318819    0   0
  200    0.085296587    0   0
  210    0.085274856    0   0
  220    0.085253614    0   0
  230    0.085232844    0   0
  240    0.085212533    0   0
  250    0.085192665    0   0
  260    0.085173228    0   0
  270    0.085154210    0   0
  280    0.085135597    0   0
  290    0.085117378    0   0
  300    0.085099542    0   0
  310    0.085082078    0   0
  320    0.085064978    0   0
  330    0.085048231    0   0
  340    0.085031828    0   0
  350    0.085015759    0   0
  360    0.085000016    0   0
  370    0.084984590    0   0
  380    0.084969474    0   0
  390    0.084954659    0   0
  400    0.084940137    0   0
  410    0.084925902    0   0
  420    0.084911948    0   0
  430    0.084898267    0   0
  440    0.084884850    0   0
  450    0.084871692    0   0
  460    0.084858787    0   0
  470    0.084846128    0   0
  480    0.084833709    0   0
  490    0.084821526    0   0
  500    0.084809572    0   0
  510    0.084797842    0   0
  520    0.084786331    0   0
  530    0.084775034    0   0
  540    0.084763946    0   0
  550    0.084753063    0   0
  560    0.084742381    0   0
  570    0.084731894    0   0
  580    0.084721598    0   0
  590    0.084711489    0   0
  600    0.084701564    9   0
Solution converged in 601 iterations with final
                                            objective=0.084700581, slow progress with global relative
                                            objective=0.000000983<=1e-06 for 10 non-consecutive
                                            iterations
  601    0.084700581    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 4.2169650342858225e-07
Iter    objective   convergence_count   no_progress_count
    0    0.082284479    0   0
   10    0.082251101    0   0
   20    0.082218862    0   0
   30    0.082187506    0   0
   40    0.082156945    0   0
   50    0.082127130    0   0
   60    0.082098024    0   0
   70    0.082069599    0   0
   80    0.082041829    0   0
   90    0.082014691    0   0
  100    0.081988163    0   0
  110    0.081962225    0   0
  120    0.081936859    0   0
  130    0.081912045    0   0
  140    0.081887767    0   0
  150    0.081864008    0   0
  160    0.081840753    0   0
  170    0.081817987    0   0
  180    0.081795697    0   0
  190    0.081773868    0   0
  200    0.081752488    0   0
  210    0.081731544    0   0
  220    0.081711024    0   0
  230    0.081690917    0   0
  240    0.081671212    0   0
  250    0.081651898    0   0
  260    0.081632966    0   0
  270    0.081614406    0   0
  280    0.081596207    0   0
  290    0.081578362    0   0
  300    0.081560860    0   0
  310    0.081543694    0   0
  320    0.081526854    0   0
  330    0.081510334    0   0
  340    0.081494126    0   0
  350    0.081478221    0   0
  360    0.081462613    0   0
  370    0.081447294    0   0
  380    0.081432258    0   0
  390    0.081417499    0   0
  400    0.081403008    0   0
  410    0.081388782    0   0
  420    0.081374814    0   0
  430    0.081361098    0   0
  440    0.081347628    0   0
  450    0.081334399    0   0
  460    0.081321406    0   0
  470    0.081308642    0   0
  480    0.081296103    0   0
  490    0.081283784    0   0
  500    0.081271680    0   0
